"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.667953167E0,6.975494385E-2,6.980434113E0,6.713688812E0,9.685295226E0
1.677931167E0,5.149291992E-2,6.962022400E0,6.420598297E0,9.470823085E0
1.687909167E0,6.047424316E-2,6.972949677E0,6.262377319E0,9.372462537E0
1.697887167E0,3.757186890E-2,6.968758392E0,6.188131714E0,9.319762834E0
1.707865167E0,-4.370910645E-2,6.941964111E0,6.104156342E0,9.244106276E0
1.717843167E0,-8.951385498E-2,6.977889404E0,5.751340027E0,9.043056197E0
1.727821167E0,-1.775308228E-1,6.989415436E0,5.247338104E0,8.741739101E0
1.737798167E0,-2.389031982E-1,6.853198700E0,4.939278717E0,8.451028423E0
1.747776167E0,-2.008822632E-1,6.630461884E0,4.823569336E0,8.201841233E0
1.757754167E0,-1.050814819E-1,6.424190826E0,4.771777039E0,8.003194737E0
1.767732167E0,2.158511353E-1,6.183491364E0,4.907095642E0,7.896945283E0
1.777710167E0,5.921685791E-1,5.946983185E0,5.133574677E0,7.878506304E0
1.787688167E0,8.367599487E-1,5.666915588E0,5.416486359E0,7.883680864E0
1.797666167E0,1.049766998E0,5.416037292E0,5.919440460E0,8.091677580E0
1.807644167E0,1.236428833E0,5.232369232E0,6.374045105E0,8.338758603E0
1.817622167E0,1.197210388E0,4.961732025E0,6.619983673E0,8.359203385E0
1.827600167E0,1.188678131E0,4.629572754E0,6.973997498E0,8.454734808E0
1.837578167E0,1.207838287E0,4.307143250E0,7.400161285E0,8.647123415E0
1.847556167E0,1.067729645E0,4.008813629E0,8.078251190E0,9.081232053E0
1.857534167E0,8.349636841E-1,3.802841949E0,8.797804871E0,9.620818145E0
1.867511167E0,6.310876465E-1,3.666026459E0,9.353299713E0,1.006589475E1
1.877489167E0,4.619393921E-1,3.589236145E0,9.896071014E0,1.053699320E1
1.887467167E0,2.535726929E-1,3.503314819E0,1.043779449E1,1.101295000E1
1.897445167E0,1.197509766E-1,3.359613647E0,1.074660233E1,1.126014235E1
1.907423167E0,7.798782349E-2,3.243305511E0,1.094838272E1,1.141894027E1
1.917401167E0,1.963916016E-1,3.179687805E0,1.117067047E1,1.161606056E1
1.927379167E0,4.141886902E-1,3.126847687E0,1.126961472E1,1.170268963E1
1.937357167E0,5.432203674E-1,3.052302704E0,1.116543137E1,1.158785993E1
1.947335167E0,6.421646118E-1,2.977009277E0,1.080393311E1,1.122496905E1
1.957313167E0,7.505392456E-1,2.937641144E0,1.020637573E1,1.064721326E1
1.967291167E0,7.592211914E-1,2.976111145E0,9.614656219E0,1.009332792E1
1.977269167E0,7.090754700E-1,2.959346008E0,9.268725586E0,9.755500541E0
1.987246167E0,6.405180359E-1,2.866838379E0,9.096284180E0,9.558839444E0
1.997224167E0,5.734574890E-1,2.759361877E0,8.920848999E0,9.355451797E0
2.007202167E0,4.740641785E-1,2.651286621E0,8.748706970E0,9.153902514E0
2.017180167E0,4.219725037E-1,2.512375488E0,8.680299225E0,9.046418408E0
2.027158167E0,4.884342957E-1,2.406395874E0,8.825197906E0,9.160427242E0
2.037136167E0,5.315446472E-1,2.351460114E0,9.257349243E0,9.566107849E0
2.047114167E0,5.234614563E-1,2.207609253E0,9.965376892E0,1.022038586E1
2.057092167E0,5.563929749E-1,2.097288666E0,1.032657578E1,1.055207847E1
2.067070167E0,6.069877625E-1,1.918410645E0,1.028675858E1,1.048170480E1
2.077048167E0,5.980064392E-1,1.823807373E0,1.018931122E1,1.036850752E1
2.087026167E0,5.192701721E-1,1.690135345E0,9.853260040E0,1.001064096E1
2.097004167E0,5.487588501E-1,1.530267792E0,9.453740845E0,9.592500808E0
2.106981167E0,6.176156616E-1,1.483714600E0,9.164991302E0,9.304833351E0
2.116959167E0,5.285508728E-1,1.250649261E0,9.059460754E0,9.160639648E0
2.126937167E0,4.360432434E-1,1.012793884E0,8.940907288E0,9.008646307E0
2.136915167E0,5.960604858E-1,1.196312256E0,8.303682404E0,8.410564343E0
2.146893167E0,4.101470947E-1,8.458909607E-1,8.394992523E0,8.447464212E0
2.156871167E0,1.336720276E-1,1.669029236E-1,8.924291840E0,8.926853289E0
2.166849167E0,2.875520325E-1,-1.585203552E-1,9.152417450E0,9.158305523E0
2.176827167E0,5.330415344E-1,-3.977229309E-1,9.507179718E0,9.530413580E0
2.186805167E0,8.051756287E-1,-3.899391174E-1,9.955347748E0,9.995464426E0
2.196783167E0,9.904902649E-1,-3.311114502E-1,1.013138168E1,1.018506753E1
2.206761167E0,9.265731812E-1,-3.659889221E-1,1.019425095E1,1.024281397E1
2.216738167E0,5.921685791E-1,-5.420228577E-1,1.004965164E1,1.008166408E1
2.226716167E0,1.920506287E-1,-8.590635681E-1,9.965227203E0,1.000403053E1
2.236694167E0,7.679031372E-2,-1.236279144E0,1.004561005E1,1.012168781E1
2.246672167E0,1.713935852E-1,-1.544338531E0,9.962832184E0,1.008327240E1
2.256650167E0,2.728825378E-1,-1.530866547E0,9.644743652E0,9.769293597E0
2.266628167E0,2.158511353E-1,-1.561552734E0,9.595945129E0,9.724566910E0
2.276606167E0,3.607498169E-2,-1.732646942E0,9.769434357E0,9.921956182E0
2.286584167E0,-9.430389404E-2,-1.974244537E0,9.758656769E0,9.956802531E0
2.296562167E0,-2.168989563E-1,-2.242187347E0,9.798473969E0,1.005408083E1
2.306540167E0,-1.956431580E-1,-2.490970001E0,9.854906616E0,1.016672967E1
2.316518167E0,-1.630110168E-1,-2.686762848E0,9.911638641E0,1.027063035E1
2.326495167E0,-2.215393066E-1,-2.788102112E0,1.011207184E1,1.049173913E1
2.336473167E0,-2.143542480E-1,-2.870131531E0,1.005414230E1,1.045798165E1
2.346451167E0,-2.927911377E-1,-2.908302155E0,9.870773621E0,1.029447036E1
2.356429167E0,-4.360432434E-1,-3.013832703E0,9.719737701E0,1.018560859E1
2.366407167E0,-4.578977966E-1,-3.158881073E0,9.686656494E0,1.019899574E1
2.376385167E0,-3.993695068E-1,-3.323688354E0,9.846224670E0,1.039973752E1
2.386363167E0,-3.956272888E-1,-3.447929993E0,1.010264145E1,1.068213960E1
2.396341167E0,-4.305047607E-1,-3.603606262E0,1.025726990E1,1.088039053E1
2.406319167E0,-4.954696655E-1,-3.732637939E0,1.027942383E1,1.094735723E1
2.416296792E0,-5.231620789E-1,-3.861968994E0,1.015772690E1,1.087970215E1
2.426274792E0,-5.914201355E-1,-3.916755066E0,1.001222946E1,1.076733425E1
